Benchmark;(nbPersons);Mode;Cnt;Score;Error;Units
LambdaVsAnonymousClassBenchmark.anonymous_class;100;ss;1000;0,051;±;0,003;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;200;ss;1000;0,164;±;0,026;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;400;ss;1000;0,224;±;0,012;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;800;ss;1000;0,291;±;0,011;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;1600;ss;1000;0,591;±;0,016;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;3200;ss;1000;1,431;±;0,031;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;6400;ss;1000;2,947;±;0,050;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;12800;ss;1000;6,311;±;0,090;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;25600;ss;1000;15,276;±;0,155;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;51200;ss;1000;34,155;±;0,097;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;102400;ss;1000;78,867;±;0,152;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;204800;ss;1000;170,994;±;0,407;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;409600;ss;1000;403,802;±;0,982;ms/op
LambdaVsAnonymousClassBenchmark.anonymous_class;819200;ss;1000;923,931;±;3,546;ms/op
LambdaVsAnonymousClassBenchmark.lambda;100;ss;1000;0,054;±;0,003;ms/op
LambdaVsAnonymousClassBenchmark.lambda;200;ss;1000;0,155;±;0,033;ms/op
LambdaVsAnonymousClassBenchmark.lambda;400;ss;1000;0,269;±;0,019;ms/op
LambdaVsAnonymousClassBenchmark.lambda;800;ss;1000;0,321;±;0,014;ms/op
LambdaVsAnonymousClassBenchmark.lambda;1600;ss;1000;0,577;±;0,008;ms/op
LambdaVsAnonymousClassBenchmark.lambda;3200;ss;1000;1,287;±;0,028;ms/op
LambdaVsAnonymousClassBenchmark.lambda;6400;ss;1000;2,909;±;0,042;ms/op
LambdaVsAnonymousClassBenchmark.lambda;12800;ss;1000;6,706;±;0,101;ms/op
LambdaVsAnonymousClassBenchmark.lambda;25600;ss;1000;14,956;±;0,130;ms/op
LambdaVsAnonymousClassBenchmark.lambda;51200;ss;1000;34,687;±;0,161;ms/op
LambdaVsAnonymousClassBenchmark.lambda;102400;ss;1000;80,434;±;0,206;ms/op
LambdaVsAnonymousClassBenchmark.lambda;204800;ss;1000;169,575;±;0,357;ms/op
LambdaVsAnonymousClassBenchmark.lambda;409600;ss;1000;412,702;±;0,884;ms/op
LambdaVsAnonymousClassBenchmark.lambda;819200;ss;1000;918,902;±;3,422;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;100;ss;1000;0,060;±;0,002;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;200;ss;1000;0,150;±;0,025;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;400;ss;1000;0,178;±;0,011;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;800;ss;1000;0,248;±;0,007;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;1600;ss;1000;0,625;±;0,014;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;3200;ss;1000;1,356;±;0,027;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;6400;ss;1000;2,880;±;0,040;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;12800;ss;1000;6,363;±;0,089;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;25600;ss;1000;14,867;±;0,144;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;51200;ss;1000;34,578;±;0,142;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;102400;ss;1000;81,765;±;0,297;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;204800;ss;1000;173,375;±;0,389;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;409600;ss;1000;401,512;±;1,132;ms/op
LambdaVsAnonymousClassBenchmark.lambda_then;819200;ss;1000;906,830;±;3,719;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;100;ss;1000;0,054;±;0,002;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;200;ss;1000;0,113;±;0,016;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;400;ss;1000;0,233;±;0,033;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;800;ss;1000;0,271;±;0,008;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;1600;ss;1000;0,606;±;0,017;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;3200;ss;1000;1,432;±;0,025;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;6400;ss;1000;2,901;±;0,048;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;12800;ss;1000;4,221;±;0,093;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;25600;ss;1000;8,499;±;0,146;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;51200;ss;1000;20,081;±;0,180;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;102400;ss;1000;43,887;±;0,290;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;204800;ss;1000;97,749;±;0,212;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;409600;ss;1000;212,628;±;0,423;ms/op
LambdaVsAnonymousClassBenchmark.parallel_anonymous_class;819200;ss;1000;482,677;±;2,158;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;100;ss;1000;0,049;±;0,004;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;200;ss;1000;0,128;±;0,014;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;400;ss;1000;0,247;±;0,027;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;800;ss;1000;0,252;±;0,005;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;1600;ss;1000;0,580;±;0,016;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;3200;ss;1000;1,362;±;0,027;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;6400;ss;1000;2,991;±;0,042;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;12800;ss;1000;4,102;±;0,087;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;25600;ss;1000;8,928;±;0,219;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;51200;ss;1000;20,481;±;0,199;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;102400;ss;1000;44,718;±;0,198;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;204800;ss;1000;98,850;±;0,197;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;409600;ss;1000;213,028;±;0,399;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda;819200;ss;1000;476,688;±;1,658;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;100;ss;1000;0,071;±;0,006;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;200;ss;1000;0,160;±;0,045;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;400;ss;1000;0,246;±;0,021;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;800;ss;1000;0,385;±;0,036;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;1600;ss;1000;0,645;±;0,021;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;3200;ss;1000;1,315;±;0,036;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;6400;ss;1000;2,771;±;0,040;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;12800;ss;1000;4,200;±;0,090;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;25600;ss;1000;8,809;±;0,182;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;51200;ss;1000;20,433;±;0,196;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;102400;ss;1000;45,319;±;0,201;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;204800;ss;1000;100,677;±;0,367;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;409600;ss;1000;216,972;±;0,435;ms/op
LambdaVsAnonymousClassBenchmark.parallel_lambda_then;819200;ss;1000;488,647;±;3,143;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;100;ss;1000;0,050;±;0,002;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;200;ss;1000;0,076;±;0,004;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;400;ss;1000;0,143;±;0,009;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;800;ss;1000;0,275;±;0,006;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;1600;ss;1000;0,582;±;0,019;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;3200;ss;1000;1,389;±;0,023;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;6400;ss;1000;2,900;±;0,075;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;12800;ss;1000;4,252;±;0,095;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;25600;ss;1000;8,877;±;0,163;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;51200;ss;1000;20,548;±;0,212;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;102400;ss;1000;45,638;±;0,241;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;204800;ss;1000;97,272;±;0,206;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;409600;ss;1000;208,739;±;0,383;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda;819200;ss;1000;459,570;±;0,840;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;100;ss;1000;0,063;±;0,007;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;200;ss;1000;0,093;±;0,004;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;400;ss;1000;0,153;±;0,008;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;800;ss;1000;0,292;±;0,016;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;1600;ss;1000;0,585;±;0,028;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;3200;ss;1000;1,318;±;0,023;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;6400;ss;1000;2,800;±;0,046;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;12800;ss;1000;4,241;±;0,101;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;25600;ss;1000;9,121;±;0,198;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;51200;ss;1000;20,404;±;0,198;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;102400;ss;1000;45,824;±;0,243;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;204800;ss;1000;98,441;±;0,213;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;409600;ss;1000;210,181;±;0,623;ms/op
LambdaVsAnonymousClassBenchmark.parallel_stream_lambda_then;819200;ss;1000;469,740;±;0,853;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;100;ss;1000;0,036;±;0,002;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;200;ss;1000;0,064;±;0,004;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;400;ss;1000;0,126;±;0,004;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;800;ss;1000;0,259;±;0,005;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;1600;ss;1000;0,559;±;0,012;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;3200;ss;1000;1,396;±;0,020;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;6400;ss;1000;2,897;±;0,040;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;12800;ss;1000;6,390;±;0,097;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;25600;ss;1000;14,503;±;0,145;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;51200;ss;1000;35,191;±;0,199;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;102400;ss;1000;77,972;±;0,323;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;204800;ss;1000;169,973;±;0,313;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;409600;ss;1000;378,128;±;0,830;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda;819200;ss;1000;880,112;±;3,467;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;100;ss;1000;0,045;±;0,003;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;200;ss;1000;0,074;±;0,003;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;400;ss;1000;0,147;±;0,004;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;800;ss;1000;0,286;±;0,004;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;1600;ss;1000;0,599;±;0,026;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;3200;ss;1000;1,412;±;0,024;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;6400;ss;1000;2,897;±;0,043;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;12800;ss;1000;6,420;±;0,086;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;25600;ss;1000;14,917;±;0,170;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;51200;ss;1000;36,023;±;0,225;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;102400;ss;1000;76,914;±;0,142;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;204800;ss;1000;177,831;±;0,310;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;409600;ss;1000;389,196;±;1,136;ms/op
LambdaVsAnonymousClassBenchmark.stream_lambda_then;819200;ss;1000;893,669;±;4,314;ms/op
