# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassMergeSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 5000)

# Run progress: 0,00% complete, ETA 00:18:40
# Fork: 1 of 1
# Warmup Iteration   1: 1245,999 ops/s
# Warmup Iteration   2: 1428,106 ops/s
# Warmup Iteration   3: 1421,481 ops/s
# Warmup Iteration   4: 1425,155 ops/s
# Warmup Iteration   5: 1416,546 ops/s
# Warmup Iteration   6: 1418,036 ops/s
# Warmup Iteration   7: 1423,879 ops/s
# Warmup Iteration   8: 1416,755 ops/s
# Warmup Iteration   9: 1410,076 ops/s
# Warmup Iteration  10: 1413,074 ops/s
# Warmup Iteration  11: 1410,552 ops/s
# Warmup Iteration  12: 1404,465 ops/s
# Warmup Iteration  13: 1412,226 ops/s
# Warmup Iteration  14: 1411,426 ops/s
# Warmup Iteration  15: 1410,741 ops/s
# Warmup Iteration  16: 1406,387 ops/s
# Warmup Iteration  17: 1411,287 ops/s
# Warmup Iteration  18: 1408,165 ops/s
# Warmup Iteration  19: 1401,002 ops/s
# Warmup Iteration  20: 1404,812 ops/s
Iteration   1: 1409,963 ops/s
Iteration   2: 1409,188 ops/s
Iteration   3: 1423,693 ops/s
Iteration   4: 1423,740 ops/s
Iteration   5: 1428,728 ops/s
Iteration   6: 1421,513 ops/s
Iteration   7: 1426,968 ops/s
Iteration   8: 1419,513 ops/s
Iteration   9: 1418,041 ops/s
Iteration  10: 1421,891 ops/s
Iteration  11: 1421,484 ops/s
Iteration  12: 1422,235 ops/s
Iteration  13: 1419,081 ops/s
Iteration  14: 1414,546 ops/s
Iteration  15: 1422,416 ops/s
Iteration  16: 1420,045 ops/s
Iteration  17: 1421,957 ops/s
Iteration  18: 1415,723 ops/s
Iteration  19: 1414,565 ops/s
Iteration  20: 1419,166 ops/s


Result: 1419,723 ±(99.9%) 4,339 ops/s [Average]
  Statistics: (min, avg, max) = (1409,188, 1419,723, 1428,728), stdev = 4,997
  Confidence interval (99.9%): [1415,384, 1424,062]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassMergeSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 10000)

# Run progress: 7,14% complete, ETA 00:19:16
