# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_as_compartor
# Parameters: (nbPersons = 5000)

# Run progress: 0,00% complete, ETA 00:56:00
# Fork: 1 of 1
# Warmup Iteration   1: 1328,009 ops/s
# Warmup Iteration   2: 1502,419 ops/s
# Warmup Iteration   3: 1504,356 ops/s
# Warmup Iteration   4: 1497,442 ops/s
# Warmup Iteration   5: 1504,365 ops/s
# Warmup Iteration   6: 1503,784 ops/s
# Warmup Iteration   7: 1512,649 ops/s
# Warmup Iteration   8: 1508,010 ops/s
# Warmup Iteration   9: 1505,389 ops/s
# Warmup Iteration  10: 1512,649 ops/s
# Warmup Iteration  11: 1505,734 ops/s
# Warmup Iteration  12: 1504,199 ops/s
# Warmup Iteration  13: 1510,259 ops/s
# Warmup Iteration  14: 1499,568 ops/s
# Warmup Iteration  15: 1507,027 ops/s
# Warmup Iteration  16: 1508,657 ops/s
# Warmup Iteration  17: 1500,140 ops/s
# Warmup Iteration  18: 1508,432 ops/s
# Warmup Iteration  19: 1508,930 ops/s
# Warmup Iteration  20: 1500,537 ops/s
Iteration   1: 1508,365 ops/s
Iteration   2: 1501,848 ops/s
Iteration   3: 1499,655 ops/s
Iteration   4: 1502,057 ops/s
Iteration   5: 1498,986 ops/s
Iteration   6: 1503,147 ops/s
Iteration   7: 1493,354 ops/s
Iteration   8: 1509,085 ops/s
Iteration   9: 1506,087 ops/s
Iteration  10: 1504,661 ops/s
Iteration  11: 1506,213 ops/s
Iteration  12: 1501,183 ops/s
Iteration  13: 1502,217 ops/s
Iteration  14: 1503,991 ops/s
Iteration  15: 1507,551 ops/s
Iteration  16: 1505,044 ops/s
Iteration  17: 1504,864 ops/s
Iteration  18: 1505,385 ops/s
Iteration  19: 1501,014 ops/s
Iteration  20: 1508,095 ops/s


Result: 1503,640 ±(99.9%) 3,284 ops/s [Average]
  Statistics: (min, avg, max) = (1493,354, 1503,640, 1509,085), stdev = 3,781
  Confidence interval (99.9%): [1500,357, 1506,924]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_as_compartor
# Parameters: (nbPersons = 10000)

# Run progress: 2,38% complete, ETA 01:00:45
# Fork: 1 of 1
# Warmup Iteration   1: 567,269 ops/s
# Warmup Iteration   2: 677,835 ops/s
# Warmup Iteration   3: 677,833 ops/s
# Warmup Iteration   4: 676,923 ops/s
# Warmup Iteration   5: 675,977 ops/s
# Warmup Iteration   6: 675,863 ops/s
# Warmup Iteration   7: 677,299 ops/s
# Warmup Iteration   8: 678,028 ops/s
# Warmup Iteration   9: 678,378 ops/s
# Warmup Iteration  10: 669,281 ops/s
# Warmup Iteration  11: 674,199 ops/s
# Warmup Iteration  12: 675,643 ops/s
# Warmup Iteration  13: 675,919 ops/s
# Warmup Iteration  14: 675,008 ops/s
# Warmup Iteration  15: 674,423 ops/s
# Warmup Iteration  16: 672,972 ops/s
# Warmup Iteration  17: 674,576 ops/s
# Warmup Iteration  18: 673,660 ops/s
# Warmup Iteration  19: 674,415 ops/s
# Warmup Iteration  20: 675,618 ops/s
Iteration   1: 674,090 ops/s
Iteration   2: 675,051 ops/s
Iteration   3: 674,546 ops/s
Iteration   4: 674,796 ops/s
Iteration   5: 675,603 ops/s
Iteration   6: 675,708 ops/s
Iteration   7: 675,308 ops/s
Iteration   8: 675,732 ops/s
Iteration   9: 673,933 ops/s
Iteration  10: 675,766 ops/s
Iteration  11: 675,141 ops/s
Iteration  12: 672,689 ops/s
Iteration  13: 676,012 ops/s
Iteration  14: 669,561 ops/s
Iteration  15: 675,197 ops/s
Iteration  16: 672,907 ops/s
Iteration  17: 677,285 ops/s
Iteration  18: 671,787 ops/s
Iteration  19: 675,680 ops/s
Iteration  20: 673,345 ops/s


Result: 674,507 ±(99.9%) 1,525 ops/s [Average]
  Statistics: (min, avg, max) = (669,561, 674,507, 677,285), stdev = 1,756
  Confidence interval (99.9%): [672,982, 676,031]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_as_compartor
# Parameters: (nbPersons = 50000)

# Run progress: 4,76% complete, ETA 00:59:18
# Fork: 1 of 1
# Warmup Iteration   1: 71,729 ops/s
# Warmup Iteration   2: 83,030 ops/s
# Warmup Iteration   3: 83,331 ops/s
# Warmup Iteration   4: 83,431 ops/s
# Warmup Iteration   5: 83,363 ops/s
# Warmup Iteration   6: 83,371 ops/s
# Warmup Iteration   7: 82,978 ops/s
# Warmup Iteration   8: 83,234 ops/s
# Warmup Iteration   9: 82,907 ops/s
# Warmup Iteration  10: 82,712 ops/s
# Warmup Iteration  11: 83,361 ops/s
# Warmup Iteration  12: 83,055 ops/s
# Warmup Iteration  13: 83,322 ops/s
# Warmup Iteration  14: 83,389 ops/s
# Warmup Iteration  15: 83,358 ops/s
# Warmup Iteration  16: 83,257 ops/s
# Warmup Iteration  17: 83,039 ops/s
# Warmup Iteration  18: 83,190 ops/s
# Warmup Iteration  19: 82,985 ops/s
# Warmup Iteration  20: 82,039 ops/s
Iteration   1: 83,127 ops/s
Iteration   2: 83,034 ops/s
Iteration   3: 83,093 ops/s
Iteration   4: 83,387 ops/s
Iteration   5: 83,016 ops/s
Iteration   6: 83,042 ops/s
Iteration   7: 83,296 ops/s
Iteration   8: 83,012 ops/s
Iteration   9: 83,090 ops/s
Iteration  10: 82,898 ops/s
Iteration  11: 83,032 ops/s
Iteration  12: 83,061 ops/s
Iteration  13: 83,144 ops/s
Iteration  14: 83,046 ops/s
Iteration  15: 83,254 ops/s
Iteration  16: 82,998 ops/s
Iteration  17: 83,342 ops/s
Iteration  18: 83,273 ops/s
Iteration  19: 83,279 ops/s
Iteration  20: 83,079 ops/s


Result: 83,125 ±(99.9%) 0,116 ops/s [Average]
  Statistics: (min, avg, max) = (82,898, 83,125, 83,387), stdev = 0,134
  Confidence interval (99.9%): [83,009, 83,241]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_as_compartor
# Parameters: (nbPersons = 100000)

# Run progress: 7,14% complete, ETA 00:58:11
# Fork: 1 of 1
# Warmup Iteration   1: 30,875 ops/s
# Warmup Iteration   2: 34,136 ops/s
# Warmup Iteration   3: 34,245 ops/s
# Warmup Iteration   4: 34,190 ops/s
# Warmup Iteration   5: 34,141 ops/s
# Warmup Iteration   6: 33,876 ops/s
# Warmup Iteration   7: 34,132 ops/s
# Warmup Iteration   8: 34,278 ops/s
# Warmup Iteration   9: 34,203 ops/s
# Warmup Iteration  10: 34,291 ops/s
# Warmup Iteration  11: 34,233 ops/s
# Warmup Iteration  12: 34,242 ops/s
# Warmup Iteration  13: 34,231 ops/s
# Warmup Iteration  14: 34,181 ops/s
# Warmup Iteration  15: 34,253 ops/s
# Warmup Iteration  16: 34,206 ops/s
# Warmup Iteration  17: 34,056 ops/s
# Warmup Iteration  18: 34,176 ops/s
# Warmup Iteration  19: 34,179 ops/s
# Warmup Iteration  20: 34,224 ops/s
Iteration   1: 34,045 ops/s
Iteration   2: 34,213 ops/s
Iteration   3: 34,198 ops/s
Iteration   4: 34,196 ops/s
Iteration   5: 34,223 ops/s
Iteration   6: 34,214 ops/s
Iteration   7: 34,188 ops/s
Iteration   8: 33,987 ops/s
Iteration   9: 32,596 ops/s
Iteration  10: 33,994 ops/s
Iteration  11: 33,985 ops/s
Iteration  12: 33,557 ops/s
Iteration  13: 33,745 ops/s
Iteration  14: 33,734 ops/s
Iteration  15: 33,740 ops/s
Iteration  16: 33,849 ops/s
Iteration  17: 33,671 ops/s
Iteration  18: 33,858 ops/s
Iteration  19: 33,790 ops/s
Iteration  20: 33,518 ops/s


Result: 33,865 ±(99.9%) 0,327 ops/s [Average]
  Statistics: (min, avg, max) = (32,596, 33,865, 34,223), stdev = 0,376
  Confidence interval (99.9%): [33,538, 34,192]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_as_compartor
# Parameters: (nbPersons = 200000)

# Run progress: 9,52% complete, ETA 00:57:19
# Fork: 1 of 1
# Warmup Iteration   1: 9,921 ops/s
# Warmup Iteration   2: 14,376 ops/s
# Warmup Iteration   3: 14,256 ops/s
# Warmup Iteration   4: 14,383 ops/s
# Warmup Iteration   5: 14,208 ops/s
# Warmup Iteration   6: 14,398 ops/s
# Warmup Iteration   7: 14,432 ops/s
# Warmup Iteration   8: 14,514 ops/s
# Warmup Iteration   9: 14,449 ops/s
# Warmup Iteration  10: 14,239 ops/s
# Warmup Iteration  11: 14,452 ops/s
# Warmup Iteration  12: 14,299 ops/s
# Warmup Iteration  13: 14,385 ops/s
# Warmup Iteration  14: 14,460 ops/s
# Warmup Iteration  15: 14,521 ops/s
# Warmup Iteration  16: 14,507 ops/s
# Warmup Iteration  17: 14,296 ops/s
# Warmup Iteration  18: 14,356 ops/s
# Warmup Iteration  19: 14,115 ops/s
# Warmup Iteration  20: 14,210 ops/s
Iteration   1: 14,436 ops/s
Iteration   2: 14,197 ops/s
Iteration   3: 14,355 ops/s
Iteration   4: 14,047 ops/s
Iteration   5: 14,340 ops/s
Iteration   6: 14,511 ops/s
Iteration   7: 14,441 ops/s
Iteration   8: 14,119 ops/s
Iteration   9: 14,402 ops/s
Iteration  10: 14,384 ops/s
Iteration  11: 14,338 ops/s
Iteration  12: 14,483 ops/s
Iteration  13: 14,389 ops/s
Iteration  14: 14,383 ops/s
Iteration  15: 14,375 ops/s
Iteration  16: 14,029 ops/s
Iteration  17: 14,219 ops/s
Iteration  18: 14,469 ops/s
Iteration  19: 14,300 ops/s
Iteration  20: 14,254 ops/s


Result: 14,324 ±(99.9%) 0,121 ops/s [Average]
  Statistics: (min, avg, max) = (14,029, 14,324, 14,511), stdev = 0,139
  Confidence interval (99.9%): [14,203, 14,444]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_as_compartor
# Parameters: (nbPersons = 400000)

# Run progress: 11,90% complete, ETA 00:56:55
# Fork: 1 of 1
# Warmup Iteration   1: 5,605 ops/s
# Warmup Iteration   2: 6,167 ops/s
# Warmup Iteration   3: 6,184 ops/s
# Warmup Iteration   4: 6,182 ops/s
# Warmup Iteration   5: 6,215 ops/s
# Warmup Iteration   6: 6,296 ops/s
# Warmup Iteration   7: 6,291 ops/s
# Warmup Iteration   8: 6,302 ops/s
# Warmup Iteration   9: 6,283 ops/s
# Warmup Iteration  10: 6,266 ops/s
# Warmup Iteration  11: 6,161 ops/s
# Warmup Iteration  12: 6,156 ops/s
# Warmup Iteration  13: 6,331 ops/s
# Warmup Iteration  14: 6,188 ops/s
# Warmup Iteration  15: 6,286 ops/s
# Warmup Iteration  16: 6,282 ops/s
# Warmup Iteration  17: 6,291 ops/s
# Warmup Iteration  18: 6,145 ops/s
